Код,Номер распоряжения,Заказчик,ИНН Заказчика,Подрядчик,ИНН Подрядчика,Район,Адрес,Вид ограничения,Вид работ,Дата начала ограничения,Дата окончания ограничения,Дата снятия ограничения,Уточнение срока,Документы,Мониторинг,Основание,ПСП,МСК,Административное дело
451155,260-зд от 21.05.2024,ао 'метрострой северной столицы',7810904590,ао 'метрострой северной столицы',7810904590,приморский,туристская ул. от камышовой ул. до богатырского пр.),полное закрытие дв,работы по размещению временного ограждения,20240527,20280629,-,(этап 2),http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=637419&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=451155&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e516207&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=503121&p3=234&p4=451155,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=216909&p3=56&p4=451155,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e451155&msk=0&t=1
451160,258-зд от 21.05.2024,гуп 'водоканал санкт-петербурга',7830000426,гуп 'водоканал санкт-петербурга',7830000426,колпинский,станционная ул. (посёлок усть-ижора) у усть-ижорского кладбища),полное закрытие дв,работы по реконструкции водопровода,20240524,20240717,20240726,(этап 2),http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=637359&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=451160&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e513588&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=503355&p3=234&p4=451160,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=216965&p3=53&p4=451160,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e451160&msk=0&t=1
451165,261-зд от 21.05.2024,ооо 'петербурггаз',7838017541,ооо 'петербурггаз',7838017541,петродворцовый,ново-нарвское шоссе (посёлок стрельна) у ж/д переезда),полное закрытие дв,работы по строительству газопровода,20240615,20240619,20240627,(этапы 2 - 3 последовательно),http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=637423&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=451165&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e516249&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=503589&p3=234&p4=451165,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=217018&p3=52&p4=451165,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e451165&msk=0&t=1
451173,263-зд от 22.05.2024,гуп 'водоканал санкт-петербурга',7830000426,гуп 'водоканал санкт-петербурга',7830000426,пушкинский,красносельское шоссе (г.пушкин) от гатчинского ш. до баболовского ш.),огранич.движения,работы по реконструкции канализационных сетей,20240525,20241011,20241120,(этапы 3 - 13),http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=637421&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=451173&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e516229&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=503823&p3=254&p4=451173,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=217070&p3=138&p4=451173,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e451173&msk=0&t=1
451209,262-зд от 22.05.2024,спб гку 'додд',7801145804,спб гку 'додд',7801145804,приморский,туристская ул. перекрёсток туристской ул. и ул. оптиков),огранич.движения,работы по прокладке инженерных сетей,20240525,20240625,20240904,(этап 1),http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=637605&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=451209&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e516276&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=504077&p3=243&p4=451209,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=217208&p3=93&p4=451209,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e451209&msk=0&t=1
451212,264-зд от 22.05.2024,ао 'абз-дорстрой',7811099353,ао 'абз-дорстрой',7811099353,невский,ул.седова от ул. крупской до пр. александровской фермы включая перекрёстки),огранич.движения,работы по ремонту дорожного покрытия,20240525,20240914,20240917,"(этапы 1.1 - 1.5, 2.1 - 2.5, 3.1.1 - 3.1.2, 3.2.1 - 3.2.2, 3.3.1 - 3.3.2, 4.1.1 - 4.1.2, 4.2.1 - 4.2.3, 4.3.1 - 4.3.3, 5.1.1 - 5.1.2, 5.2.1 - 5.2.2, 6.1.1 - 6.1.2, 6.2.1 - 6.2.2, 6.3)",http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=637422&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=451212&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e516278&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=504320&p3=366&p4=451212,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=217301&p3=402&p4=451212,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e451212&msk=0&t=1
451240,265-зд от 23.05.2024,гуп 'водоканал санкт-петербурга',7830000426,гуп 'водоканал санкт-петербурга',7830000426,василеостровский,наличная ул. боковой проезд наличной ул. от ул. нахимова до малого пр. в.о. (чётная сторона)),полное закрытие дв,работы по прокладке водопроводной сети,20240526,20241002,20241007,(этапы 1 - 2 последовательно),http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=637358&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=451240&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e516298&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=504686&p3=246&p4=451240,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=217703&p3=104&p4=451240,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e451240&msk=0&t=1
451243,267-зд от 23.05.2024,ооо 'петербурггаз',7838017541,ооо 'петербурггаз',7838017541,калининский,чугунная ул. у пересечения с арсенальной ул.),огранич.движения,работы по прокладке газопровода,20240617,20240622,20240627,(этапы б1 - б2 последовательно),http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=637683&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=451243&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e516302&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=504932&p3=234&p4=451243,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=217807&p3=53&p4=451243,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e451243&msk=0&t=1
451253,266-зд от 23.05.2024,ооо 'стройресурс',7813213382,ооо 'стройресурс',7813213382,центральный,гончарная ул. у пересечения с полтавской ул.),огранич.движения,работы по размещению временного ограждения и пешеходной галереи,20240610,20241015,20241022,(этапы 1 - 3),http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=637604&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=451253&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-DR&id1=e516319&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=505166&p3=234&p4=451253,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=217860&p3=53&p4=451253,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e451253&msk=0&t=1
451255,268-зд от 23.05.2024,спб гку 'додд',7801145804,спб гку 'додд',7801145804,невский,пр.обуховской обороны от пер. матюшенко до фарфоровской ул.),огранич.движения,работы по прокладке инженерных сетей,20240527,20240630,20240702,(этапы 1 - 3 последовательно),http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=637685&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=451255&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e516322&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=505400&p3=246&p4=451255,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=217913&p3=106&p4=451255,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e451255&msk=0&t=1
